step,epoch,loss,rewards/chosen,rewards/rejected,rewards/margins,rewards/accuracies,learning_rate
10,0.03333333333333333,0.7247828483581543,-0.22138184830546379,-0.3000879004597664,0.07870604991912841,0.6,1.5e-06
20,0.06666666666666667,0.8534084320068359,-0.3309485033154488,-0.13115478865802288,-0.19979371950030328,0.4,3.1666666666666667e-06
30,0.1,0.9942347526550293,-0.1553869627416134,0.2272284023463726,-0.38261535465717317,0.4,4.833333333333333e-06
40,0.13333333333333333,0.848712158203125,0.5378466963768005,0.4101818982511759,0.1276647835969925,0.5,4.833333333333333e-06
50,0.16666666666666666,0.7283038139343262,0.76771732121706,0.6366723880171776,0.1310449242591858,0.5,4.648148148148148e-06
60,0.2,0.5320334911346436,2.082711231708527,1.1639035522937775,0.9188076555728912,0.8,4.462962962962963e-06
70,0.23333333333333334,0.5123259544372558,3.960703265666962,1.8725867033004762,2.0881165623664857,0.8,4.277777777777778e-06
80,0.26666666666666666,0.970463752746582,6.482117021083832,3.1663330852985383,3.3157840251922606,0.9,4.092592592592593e-06
90,0.3,3.4596004486083984,7.0580605328083035,6.69566924571991,0.3623913049697876,0.5,3.907407407407408e-06
100,0.3333333333333333,1.1743810653686524,9.4010671377182,4.481220865249634,4.919846320152283,0.8,3.7222222222222225e-06
110,0.36666666666666664,1.969012451171875,8.440290832519532,4.446877705305814,3.993413043022156,0.8,3.537037037037037e-06
120,0.4,6.172414398193359,4.665970642492175,8.80240019708872,-4.1364295959472654,0.3,3.351851851851852e-06
130,0.43333333333333335,1.3846185684204102,7.29245388507843,3.9413599759340285,3.3510939717292785,0.8,3.1666666666666667e-06
140,0.4666666666666667,2.8684024810791016,6.088674473762512,5.418420588970184,0.670253849029541,0.6,2.9814814814814817e-06
150,0.5,0.9516407012939453,7.818332797288894,2.900764226913452,4.917568588256836,0.9,2.7962962962962963e-06
160,0.5333333333333333,1.6984514236450194,7.567090165615082,4.423180113732815,3.1439100742340087,0.7,2.6111111111111113e-06
170,0.5666666666666667,1.8546577453613282,7.906973304599523,3.9254371494054796,3.981536102294922,0.8,2.425925925925926e-06
180,0.6,2.724014663696289,7.735316383652389,5.202605175971985,2.5327111721038817,0.7,2.240740740740741e-06
190,0.6333333333333333,2.165096092224121,8.038202181458473,5.032692481577397,3.0055096626281737,0.6,2.0555555555555555e-06
200,0.6666666666666666,3.491669845581055,5.9408132314682005,5.115219894051552,0.8255934119224548,0.5,1.8703703703703705e-06
210,0.7,2.2739131927490233,7.384841418266296,4.613159328699112,2.7716821670532226,0.7,1.6851851851851852e-06
220,0.7333333333333333,3.068254089355469,5.9047195494174955,5.101230621337891,0.8034889459609985,0.6,1.5e-06
230,0.7666666666666667,0.8333431243896484,7.2714699625968935,2.4936145544052124,4.77785542011261,0.9,1.3148148148148148e-06
240,0.8,1.3070674896240235,7.242656421661377,2.6393739104270937,4.603282380104065,0.8,1.1296296296296296e-06
250,0.8333333333333334,1.6552278518676757,7.298397421836853,3.640883894264698,3.657513606548309,0.8,9.444444444444445e-07
260,0.8666666666666667,1.1978819847106934,8.609948951005936,2.6476392962038515,5.962309718132019,0.9,7.592592592592593e-07
270,0.9,2.1452615737915037,7.53292270898819,3.732004484627396,3.8009180545806887,0.7,5.740740740740741e-07
280,0.9333333333333333,2.3834590911865234,8.288437873125076,5.145457983016968,3.1429799079895018,0.7,3.8888888888888895e-07
290,0.9666666666666667,2.360212707519531,7.188384065032006,4.346316087245941,2.842068004608154,0.7,2.0370370370370374e-07
300,1.0,2.0670677185058595,8.76018693447113,3.8874903827905656,4.872696495056152,0.8,1.851851851851852e-08
300,1.0,,,,,,
